"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","1","test_repr_masks_the_pan[firefox]","tests.framework","2026-07-04","passed","2026-07-04","TestCardMasking","test_models","",""
"Test form validation: CVC field left empty.","5521","Form validation - incomplete CVC","tests.accept_a_payment","2026-07-04","passed","2026-07-04","TestCardFormValidation","test_card","",""
"Goto card.html and assert #messages is hidden on load.","2813","#messages panel is hidden on load","tests.accept_a_payment","2026-07-04","passed","2026-07-04","TestPageLoadAndInitialState","test_card","",""
"Test form validation: empty fields, invalid card number, expired date.","5703","Form validation - empty fields, invalid card format, expired date","tests.accept_a_payment","2026-07-04","passed","2026-07-04","TestCardFormValidation","test_card","",""
"Test form validation: invalid expiration date month.","7290","Form validation - invalid expiration date month","tests.accept_a_payment","2026-07-04","passed","2026-07-04","TestCardFormValidation","test_card","",""
"Test form validation: invalid expiration date month.","6756","Form validation - invalid expiration date month","tests.accept_a_payment","2026-07-04","passed","2026-07-04","TestCardFormValidation","test_card","",""
"
        After successful payment, payment intent ID appears as a link to the Stripe dashboard.
        ","9816","Payment Intent ID appears as a dashboard link in #messages after successful payment","tests.accept_a_payment","2026-07-04","passed","2026-07-04","TestSuccessfulPayment","test_card","",""
"","1","test_repr_never_exposes_the_cvc[chromium]","tests.framework","2026-07-04","passed","2026-07-04","TestCardMasking","test_models","",""
"","1","test_str_shows_only_last_four_digits[firefox-exactly-four-masks-everything]","tests.framework","2026-07-04","passed","2026-07-04","TestCardMasking","test_models","",""
"","1","test_str_shows_only_last_four_digits[chromium-no-spaces]","tests.framework","2026-07-04","passed","2026-07-04","TestCardMasking","test_models","",""
"Test form validation: expiration date field left empty.","5355","Form validation - incomplete expiration date","tests.accept_a_payment","2026-07-04","passed","2026-07-04","TestCardFormValidation","test_card","",""
"Fill the card form and complete payment for the given card.","8117","Fill the card form and complete payment for the given card","tests.accept_a_payment","2026-07-04","passed","2026-07-04","TestSuccessfulPayment","test_card","",""
"","1","test_unknown_app_error_lists_registered_apps[chromium]","tests.framework","2026-07-04","passed","2026-07-04","TestGetBaseUrl","test_config","",""
"Goto card.html and assert #submit/pay button is enabled.","3218","Pay button is enabled on load","tests.accept_a_payment","2026-07-04","passed","2026-07-04","TestPageLoadAndInitialState","test_card","",""
"","0","test_str_shows_only_last_four_digits[webkit-exactly-four-masks-everything]","tests.framework","2026-07-04","passed","2026-07-04","TestCardMasking","test_models","",""
"
        After successful payment, payment intent ID appears as a link to the Stripe dashboard.
        ","8536","Payment Intent ID appears as a dashboard link in #messages after successful payment","tests.accept_a_payment","2026-07-04","passed","2026-07-04","TestSuccessfulPayment","test_card","",""
"","0","test_returns_correct_url_for_every_registered_combination[webkit-acceptapayment-docker]","tests.framework","2026-07-04","passed","2026-07-04","TestGetBaseUrl","test_config","",""
"Fill the card form and complete payment for the given card.","10204","Fill the card form and complete payment for the given card","tests.accept_a_payment","2026-07-04","passed","2026-07-04","TestSuccessfulPayment","test_card","",""
"","1","test_str_shows_only_last_four_digits[firefox-no-spaces]","tests.framework","2026-07-04","passed","2026-07-04","TestCardMasking","test_models","",""
"","1","test_raises_for_unknown_app[chromium]","tests.framework","2026-07-04","passed","2026-07-04","TestGetBaseUrl","test_config","",""
"Fill the card form and complete payment for the given card.","5663","Fill the card form and complete payment for the given card","tests.accept_a_payment","2026-07-04","passed","2026-07-04","TestSuccessfulPayment","test_card","",""
"Goto card.html and assert #submit/pay button is enabled.","3545","Pay button is enabled on load","tests.accept_a_payment","2026-07-04","passed","2026-07-04","TestPageLoadAndInitialState","test_card","",""
"Test form validation: invalid card number.","5007","Form validation - invalid card format","tests.accept_a_payment","2026-07-04","passed","2026-07-04","TestCardFormValidation","test_card","",""
"","1","test_str_never_contains_the_full_pan[webkit]","tests.framework","2026-07-04","passed","2026-07-04","TestCardMasking","test_models","",""
"","0","test_str_shows_only_last_four_digits[firefox-visa-grouped]","tests.framework","2026-07-04","passed","2026-07-04","TestCardMasking","test_models","",""
"","3","test_repr_keeps_non_sensitive_fields_readable[webkit]","tests.framework","2026-07-04","passed","2026-07-04","TestCardMasking","test_models","",""
"","1","test_returns_correct_url_for_every_registered_combination[firefox-acceptapayment-docker]","tests.framework","2026-07-04","passed","2026-07-04","TestGetBaseUrl","test_config","",""
"","1","test_invalid_env_error_lists_valid_options[firefox]","tests.framework","2026-07-04","passed","2026-07-04","TestGetBaseUrl","test_config","",""
"","5","test_repr_never_exposes_the_cvc[firefox]","tests.framework","2026-07-04","passed","2026-07-04","TestCardMasking","test_models","",""
"Fill the card form and complete payment for the given card.","8538","Fill the card form and complete payment for the given card with 3DS authentication","tests.accept_a_payment","2026-07-04","passed","2026-07-04","Test3DSecureAuthenticationFlow","test_card","",""
"","1","test_str_shows_only_last_four_digits[firefox-short-masks-everything]","tests.framework","2026-07-04","passed","2026-07-04","TestCardMasking","test_models","",""
"Goto card.html and assert Stripe iframe in #card-element.","2133","Stripe card element iframe is mounted within #card-element","tests.accept_a_payment","2026-07-04","passed","2026-07-04","TestPageLoadAndInitialState","test_card","",""
