"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","1","test_str_shows_only_last_four_digits[webkit-short-masks-everything]","tests.framework","2026-07-05","passed","2026-07-05","TestCardMasking","test_models","",""
"","0","test_repr_never_exposes_the_cvc[webkit]","tests.framework","2026-07-05","passed","2026-07-05","TestCardMasking","test_models","",""
"","0","test_str_never_contains_the_full_pan[firefox]","tests.framework","2026-07-05","passed","2026-07-05","TestCardMasking","test_models","",""
"","8","test_docker_env_resolves_to_compose_service_hostname[webkit]","tests.framework","2026-07-05","passed","2026-07-05","TestGetBaseUrl","test_config","",""
"","0","test_creates_missing_log_and_allure_dirs[webkit]","tests.framework","2026-07-05","passed","2026-07-05","TestCleanAndCreateLogDirs","test_log_helpers","",""
"","1","test_raises_for_unknown_app[chromium]","tests.framework","2026-07-05","passed","2026-07-05","TestGetBaseUrl","test_config","",""
"","5","test_invalid_env_error_lists_valid_options[firefox]","tests.framework","2026-07-05","passed","2026-07-05","TestGetBaseUrl","test_config","",""
"Fill the card form and complete payment for the given card.","5775","Fill the card form and complete payment for the given card with 3DS authentication","tests.accept_a_payment","2026-07-05","passed","2026-07-05","Test3DSecureAuthenticationFlow","test_card","",""
"","0","test_returns_correct_url_for_every_registered_combination[webkit-acceptapayment-docker]","tests.framework","2026-07-05","passed","2026-07-05","TestGetBaseUrl","test_config","",""
"Fill the card form and complete payment for the given card.","10116","Fill the card form and complete payment for the given card","tests.accept_a_payment","2026-07-05","passed","2026-07-05","TestSuccessfulPayment","test_card","",""
"Fill the card form and complete payment for the given card.","7671","Fill the card form and complete payment for the given card with 3DS authentication","tests.accept_a_payment","2026-07-05","passed","2026-07-05","Test3DSecureAuthenticationFlow","test_card","",""
"","1","test_str_shows_only_last_four_digits[chromium-exactly-four-masks-everything]","tests.framework","2026-07-05","passed","2026-07-05","TestCardMasking","test_models","",""
"","1","test_str_never_contains_the_full_pan[chromium]","tests.framework","2026-07-05","passed","2026-07-05","TestCardMasking","test_models","",""
"","1","test_str_shows_only_last_four_digits[chromium-visa-grouped]","tests.framework","2026-07-05","passed","2026-07-05","TestCardMasking","test_models","",""
"Goto card.html and assert #submit/pay button is enabled.","3343","Pay button is enabled on load","tests.accept_a_payment","2026-07-05","passed","2026-07-05","TestPageLoadAndInitialState","test_card","",""
"Test form validation: ZIP/postal code field left empty.","6143","Form validation - incomplete ZIP code","tests.accept_a_payment","2026-07-05","passed","2026-07-05","TestCardFormValidation","test_card","",""
"","1","test_creates_missing_log_and_allure_dirs[chromium]","tests.framework","2026-07-05","passed","2026-07-05","TestCleanAndCreateLogDirs","test_log_helpers","",""
"","0","test_str_shows_only_last_four_digits[chromium-amex-uneven]","tests.framework","2026-07-05","passed","2026-07-05","TestCardMasking","test_models","",""
"","1","test_removes_regular_files_and_subdirs_from_log_dir[firefox]","tests.framework","2026-07-05","passed","2026-07-05","TestCleanAndCreateLogDirs","test_log_helpers","",""
"Test form validation: empty fields, invalid card number, expired date.","4961","Form validation - empty fields, invalid card format, expired date","tests.accept_a_payment","2026-07-05","passed","2026-07-05","TestCardFormValidation","test_card","",""
"","1","test_raises_for_unknown_app[firefox]","tests.framework","2026-07-05","passed","2026-07-05","TestGetBaseUrl","test_config","",""
"","0","test_invalid_env_error_lists_valid_options[chromium]","tests.framework","2026-07-05","passed","2026-07-05","TestGetBaseUrl","test_config","",""
"","0","test_str_shows_only_last_four_digits[firefox-visa-grouped]","tests.framework","2026-07-05","passed","2026-07-05","TestCardMasking","test_models","",""
"Test form validation: ZIP/postal code field left empty.","6038","Form validation - incomplete ZIP code","tests.accept_a_payment","2026-07-05","passed","2026-07-05","TestCardFormValidation","test_card","",""
"Test form validation: empty fields, invalid card number, expired date.","4681","Form validation - empty fields, invalid card format, expired date","tests.accept_a_payment","2026-07-05","passed","2026-07-05","TestCardFormValidation","test_card","",""
"Goto card.html and assert #name input value is 'Jenny Rosen'.","3530","Name input is pre-filled with ""Jenny Rosen""","tests.accept_a_payment","2026-07-05","passed","2026-07-05","TestPageLoadAndInitialState","test_card","",""
"Test form validation: CVC field left empty.","5259","Form validation - incomplete CVC","tests.accept_a_payment","2026-07-05","passed","2026-07-05","TestCardFormValidation","test_card","",""
"","1","test_unknown_app_error_lists_registered_apps[chromium]","tests.framework","2026-07-05","passed","2026-07-05","TestGetBaseUrl","test_config","",""
"","1","test_repr_masks_the_pan[chromium]","tests.framework","2026-07-05","passed","2026-07-05","TestCardMasking","test_models","",""
"Goto card.html and assert Stripe iframe in #card-element.","4501","Stripe card element iframe is mounted within #card-element","tests.accept_a_payment","2026-07-05","passed","2026-07-05","TestPageLoadAndInitialState","test_card","",""
"Goto card.html and assert #submit/pay button is enabled.","3464","Pay button is enabled on load","tests.accept_a_payment","2026-07-05","passed","2026-07-05","TestPageLoadAndInitialState","test_card","",""
"","2","test_str_shows_only_last_four_digits[chromium-no-spaces]","tests.framework","2026-07-05","passed","2026-07-05","TestCardMasking","test_models","",""
"Test form validation: ZIP/postal code field left empty.","5727","Form validation - incomplete ZIP code","tests.accept_a_payment","2026-07-05","passed","2026-07-05","TestCardFormValidation","test_card","",""
"Test form validation: invalid expiration date month.","5965","Form validation - invalid expiration date month","tests.accept_a_payment","2026-07-05","passed","2026-07-05","TestCardFormValidation","test_card","",""
"","0","test_docker_env_resolves_to_compose_service_hostname[chromium]","tests.framework","2026-07-05","passed","2026-07-05","TestGetBaseUrl","test_config","",""
"","1","test_repr_masks_the_pan[firefox]","tests.framework","2026-07-05","passed","2026-07-05","TestCardMasking","test_models","",""
"","1","test_repr_keeps_non_sensitive_fields_readable[firefox]","tests.framework","2026-07-05","passed","2026-07-05","TestCardMasking","test_models","",""
"","1","test_empties_allure_results_dir_contents_but_keeps_directory[webkit]","tests.framework","2026-07-05","passed","2026-07-05","TestCleanAndCreateLogDirs","test_log_helpers","",""
"Test form validation: expiration date field left empty.","5881","Form validation - incomplete expiration date","tests.accept_a_payment","2026-07-05","passed","2026-07-05","TestCardFormValidation","test_card","",""
"","1","test_empties_allure_results_dir_contents_but_keeps_directory[firefox]","tests.framework","2026-07-05","passed","2026-07-05","TestCleanAndCreateLogDirs","test_log_helpers","",""
"","3","test_returns_correct_url_for_every_registered_combination[webkit-acceptapayment-local]","tests.framework","2026-07-05","passed","2026-07-05","TestGetBaseUrl","test_config","",""
"Goto card.html and assert Stripe iframe in #card-element.","4488","Stripe card element iframe is mounted within #card-element","tests.accept_a_payment","2026-07-05","passed","2026-07-05","TestPageLoadAndInitialState","test_card","",""
"","1","test_str_shows_only_last_four_digits[firefox-amex-uneven]","tests.framework","2026-07-05","passed","2026-07-05","TestCardMasking","test_models","",""
"","0","test_repr_never_exposes_the_cvc[chromium]","tests.framework","2026-07-05","passed","2026-07-05","TestCardMasking","test_models","",""
"","2","test_str_shows_only_last_four_digits[webkit-no-spaces]","tests.framework","2026-07-05","passed","2026-07-05","TestCardMasking","test_models","",""
"Goto card.html and assert page title is 'Card'.","2688","Page title is ""Card""","tests.accept_a_payment","2026-07-05","passed","2026-07-05","TestPageLoadAndInitialState","test_card","",""
"Goto card.html and assert Stripe iframe in #card-element.","5321","Stripe card element iframe is mounted within #card-element","tests.accept_a_payment","2026-07-05","passed","2026-07-05","TestPageLoadAndInitialState","test_card","",""
"","9","test_repr_keeps_non_sensitive_fields_readable[chromium]","tests.framework","2026-07-05","passed","2026-07-05","TestCardMasking","test_models","",""
"Test form validation: expiration date field left empty.","5769","Form validation - incomplete expiration date","tests.accept_a_payment","2026-07-05","passed","2026-07-05","TestCardFormValidation","test_card","",""
"","0","test_unknown_app_error_lists_registered_apps[webkit]","tests.framework","2026-07-05","passed","2026-07-05","TestGetBaseUrl","test_config","",""
"Goto card.html and assert status 200.","894","Navigates directly to card.html and returns 200","tests.accept_a_payment","2026-07-05","passed","2026-07-05","TestPageLoadAndInitialState","test_card","",""
"Goto card.html and assert #card-errors is empty.","5575","#card-errors is empty on load","tests.accept_a_payment","2026-07-05","passed","2026-07-05","TestPageLoadAndInitialState","test_card","",""
"Test form validation: expiration date field left empty.","5321","Form validation - incomplete expiration date","tests.accept_a_payment","2026-07-05","passed","2026-07-05","TestCardFormValidation","test_card","",""
"","1","test_raises_for_invalid_environment[firefox]","tests.framework","2026-07-05","passed","2026-07-05","TestGetBaseUrl","test_config","",""
"","4","test_removes_regular_files_and_subdirs_from_log_dir[chromium]","tests.framework","2026-07-05","passed","2026-07-05","TestCleanAndCreateLogDirs","test_log_helpers","",""
"","0","test_repr_masks_the_pan[webkit]","tests.framework","2026-07-05","passed","2026-07-05","TestCardMasking","test_models","",""
"Test form validation: invalid expiration date month.","5401","Form validation - invalid expiration date month","tests.accept_a_payment","2026-07-05","passed","2026-07-05","TestCardFormValidation","test_card","",""
"Fill the card form and complete payment for the given card.","4879","Fill the card form and complete payment for the given card","tests.accept_a_payment","2026-07-05","passed","2026-07-05","TestSuccessfulPayment","test_card","",""
"","1","test_creates_missing_log_and_allure_dirs[firefox]","tests.framework","2026-07-05","passed","2026-07-05","TestCleanAndCreateLogDirs","test_log_helpers","",""
"
        After successful payment, payment intent ID appears as a link to the Stripe dashboard.
        ","8657","Payment Intent ID appears as a dashboard link in #messages after successful payment","tests.accept_a_payment","2026-07-05","passed","2026-07-05","TestSuccessfulPayment","test_card","",""
"","5","test_invalid_env_error_lists_valid_options[webkit]","tests.framework","2026-07-05","passed","2026-07-05","TestGetBaseUrl","test_config","",""
"","1","test_returns_correct_url_for_every_registered_combination[chromium-acceptapayment-local]","tests.framework","2026-07-05","passed","2026-07-05","TestGetBaseUrl","test_config","",""
"Goto card.html and assert #submit/pay button is enabled.","4504","Pay button is enabled on load","tests.accept_a_payment","2026-07-05","passed","2026-07-05","TestPageLoadAndInitialState","test_card","",""
"Fill the card form and complete payment for the given card.","5614","Fill the card form and complete payment for the given card with 3DS authentication","tests.accept_a_payment","2026-07-05","passed","2026-07-05","Test3DSecureAuthenticationFlow","test_card","",""
"Goto card.html and assert status 200.","4442","Navigates directly to card.html and returns 200","tests.accept_a_payment","2026-07-05","passed","2026-07-05","TestPageLoadAndInitialState","test_card","",""
"","1","test_returns_correct_url_for_every_registered_combination[chromium-acceptapayment-docker]","tests.framework","2026-07-05","passed","2026-07-05","TestGetBaseUrl","test_config","",""
"Fill the card form and complete payment for the given card.","7802","Fill the card form and complete payment for the given card","tests.accept_a_payment","2026-07-05","passed","2026-07-05","TestSuccessfulPayment","test_card","",""
"Goto card.html and assert page title is 'Card'.","4467","Page title is ""Card""","tests.accept_a_payment","2026-07-05","passed","2026-07-05","TestPageLoadAndInitialState","test_card","",""
"Goto card.html and assert #name input value is 'Jenny Rosen'.","3773","Name input is pre-filled with ""Jenny Rosen""","tests.accept_a_payment","2026-07-05","passed","2026-07-05","TestPageLoadAndInitialState","test_card","",""
"Test form validation: invalid card number.","4453","Form validation - invalid card format","tests.accept_a_payment","2026-07-05","passed","2026-07-05","TestCardFormValidation","test_card","",""
"","0","test_raises_for_invalid_environment[chromium]","tests.framework","2026-07-05","passed","2026-07-05","TestGetBaseUrl","test_config","",""
"Goto card.html and assert #card-errors is empty.","6707","#card-errors is empty on load","tests.accept_a_payment","2026-07-05","passed","2026-07-05","TestPageLoadAndInitialState","test_card","",""
"Test form validation: CVC field left empty.","6681","Form validation - incomplete CVC","tests.accept_a_payment","2026-07-05","passed","2026-07-05","TestCardFormValidation","test_card","",""
"","1","test_str_shows_only_last_four_digits[webkit-exactly-four-masks-everything]","tests.framework","2026-07-05","passed","2026-07-05","TestCardMasking","test_models","",""
"Goto card.html and assert #messages is hidden on load.","4591","#messages panel is hidden on load","tests.accept_a_payment","2026-07-05","passed","2026-07-05","TestPageLoadAndInitialState","test_card","",""
"","0","test_str_shows_only_last_four_digits[firefox-short-masks-everything]","tests.framework","2026-07-05","passed","2026-07-05","TestCardMasking","test_models","",""
"","1","test_unlinks_symlinked_file_without_deleting_its_target[chromium]","tests.framework","2026-07-05","passed","2026-07-05","TestCleanAndCreateLogDirs","test_log_helpers","",""
"","1","test_unlinks_symlinked_dir_without_deleting_its_target[firefox]","tests.framework","2026-07-05","passed","2026-07-05","TestCleanAndCreateLogDirs","test_log_helpers","",""
"
        After successful payment, payment intent ID appears as a link to the Stripe dashboard.
        ","7992","Payment Intent ID appears as a dashboard link in #messages after successful payment","tests.accept_a_payment","2026-07-05","passed","2026-07-05","TestSuccessfulPayment","test_card","",""
"","1","test_unlinks_symlinked_dir_without_deleting_its_target[chromium]","tests.framework","2026-07-05","passed","2026-07-05","TestCleanAndCreateLogDirs","test_log_helpers","",""
"","1","test_str_shows_only_last_four_digits[firefox-no-spaces]","tests.framework","2026-07-05","passed","2026-07-05","TestCardMasking","test_models","",""
"Goto card.html and assert #messages is hidden on load.","1296","#messages panel is hidden on load","tests.accept_a_payment","2026-07-05","passed","2026-07-05","TestPageLoadAndInitialState","test_card","",""
