"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"Fill the card form and complete payment for the given card.","5096","Fill the card form and complete payment for the given card","tests.accept_a_payment","2026-07-06","passed","2026-07-06","TestSuccessfulPayment","test_card","",""
"Goto card.html and assert #submit/pay button is enabled.","1386","Pay button is enabled on load","tests.accept_a_payment","2026-07-06","passed","2026-07-06","TestPageLoadAndInitialState","test_card","",""
"","3","test_raises_for_invalid_environment[firefox]","tests.framework","2026-07-06","passed","2026-07-06","TestGetBaseUrl","test_config","",""
"","1719","test_fail_then_fail_lands_in_failed_after_retry[firefox]","tests.framework","2026-07-06","passed","2026-07-06","","test_flaky_summary","",""
"","1","test_creates_missing_log_and_allure_dirs[firefox]","tests.framework","2026-07-06","passed","2026-07-06","TestCleanAndCreateLogDirs","test_log_helpers","",""
"Goto card.html and assert #card-errors is empty.","4404","#card-errors is empty on load","tests.accept_a_payment","2026-07-06","passed","2026-07-06","TestPageLoadAndInitialState","test_card","",""
"Goto card.html and assert Stripe iframe in #card-element.","4352","Stripe card element iframe is mounted within #card-element","tests.accept_a_payment","2026-07-06","passed","2026-07-06","TestPageLoadAndInitialState","test_card","",""
"","1","test_unknown_app_error_lists_registered_apps[firefox]","tests.framework","2026-07-06","passed","2026-07-06","TestGetBaseUrl","test_config","",""
"Fill the card form and complete payment for the given card.","4629","Fill the card form and complete payment for the given card","tests.accept_a_payment","2026-07-06","passed","2026-07-06","TestSuccessfulPayment","test_card","",""
"Test form validation: ZIP/postal code field left empty.","6376","Form validation - incomplete ZIP code","tests.accept_a_payment","2026-07-06","passed","2026-07-06","TestCardFormValidation","test_card","",""
"Intentionally fails its first attempt with a Playwright TimeoutError and passes on the retry. Demonstrates the CI retry policy and pass-on-retry reporting; it is not a test of the application. Skips locally, where retries are disabled (--reruns=0).","0","Flaky retry demo — deterministic fail-then-pass","tests.framework","2026-07-06","passed","2026-07-06","","test_flaky_demo","",""
"","1","test_str_shows_only_last_four_digits[webkit-short-masks-everything]","tests.framework","2026-07-06","passed","2026-07-06","TestCardMasking","test_models","",""
"","1910","test_clean_pass_prints_no_flaky_section[chromium]","tests.framework","2026-07-06","passed","2026-07-06","","test_flaky_summary","",""
"","4010","test_xdist_forwards_rerun_reports[firefox]","tests.framework","2026-07-06","passed","2026-07-06","","test_flaky_summary","",""
"","2415","test_fail_then_fail_lands_in_failed_after_retry[webkit]","tests.framework","2026-07-06","passed","2026-07-06","","test_flaky_summary","",""
"","10","test_str_shows_only_last_four_digits[firefox-short-masks-everything]","tests.framework","2026-07-06","passed","2026-07-06","TestCardMasking","test_models","",""
"Fill the card form and complete payment for the given card.","8646","Fill the card form and complete payment for the given card with 3DS authentication","tests.accept_a_payment","2026-07-06","passed","2026-07-06","Test3DSecureAuthenticationFlow","test_card","",""
"","1","test_returns_correct_url_for_every_registered_combination[firefox-acceptapayment-local]","tests.framework","2026-07-06","passed","2026-07-06","TestGetBaseUrl","test_config","",""
"Test form validation: invalid expiration date month.","5320","Form validation - invalid expiration date month","tests.accept_a_payment","2026-07-06","passed","2026-07-06","TestCardFormValidation","test_card","",""
"","4056","test_xdist_forwards_rerun_reports[webkit]","tests.framework","2026-07-06","passed","2026-07-06","","test_flaky_summary","",""
"Fill the card form and complete payment for the given card.","13505","Fill the card form and complete payment for the given card","tests.accept_a_payment","2026-07-06","passed","2026-07-06","TestSuccessfulPayment","test_card","",""
"Goto card.html and assert #messages is hidden on load.","5661","#messages panel is hidden on load","tests.accept_a_payment","2026-07-06","passed","2026-07-06","TestPageLoadAndInitialState","test_card","",""
"","1","test_raises_for_unknown_app[webkit]","tests.framework","2026-07-06","passed","2026-07-06","TestGetBaseUrl","test_config","",""
"Intentionally fails its first attempt with a Playwright TimeoutError and passes on the retry. Demonstrates the CI retry policy and pass-on-retry reporting; it is not a test of the application. Skips locally, where retries are disabled (--reruns=0).","0","Flaky retry demo — deterministic fail-then-pass","tests.framework","2026-07-06","passed","2026-07-06","","test_flaky_demo","",""
"","1","test_creates_missing_log_and_allure_dirs[chromium]","tests.framework","2026-07-06","passed","2026-07-06","TestCleanAndCreateLogDirs","test_log_helpers","",""
"","1","test_unlinks_symlinked_file_without_deleting_its_target[webkit]","tests.framework","2026-07-06","passed","2026-07-06","TestCleanAndCreateLogDirs","test_log_helpers","",""
"Goto card.html and assert #name input value is 'Jenny Rosen'.","1872","Name input is pre-filled with ""Jenny Rosen""","tests.accept_a_payment","2026-07-06","passed","2026-07-06","TestPageLoadAndInitialState","test_card","",""
"","0","test_returns_correct_url_for_every_registered_combination[chromium-acceptapayment-docker]","tests.framework","2026-07-06","passed","2026-07-06","TestGetBaseUrl","test_config","",""
"","1736","test_flaky_demo_marker_stays_retry_eligible[chromium]","tests.framework","2026-07-06","passed","2026-07-06","","test_retry_optout","",""
"
        After successful payment, payment intent ID appears as a link to the Stripe dashboard.
        ","8091","Payment Intent ID appears as a dashboard link in #messages after successful payment","tests.accept_a_payment","2026-07-06","passed","2026-07-06","TestSuccessfulPayment","test_card","",""
"","1","test_str_never_contains_the_full_pan[webkit]","tests.framework","2026-07-06","passed","2026-07-06","TestCardMasking","test_models","",""
"","2","test_unknown_app_error_lists_registered_apps[chromium]","tests.framework","2026-07-06","passed","2026-07-06","TestGetBaseUrl","test_config","",""
"","1","test_removes_regular_files_and_subdirs_from_log_dir[chromium]","tests.framework","2026-07-06","passed","2026-07-06","TestCleanAndCreateLogDirs","test_log_helpers","",""
"","1","test_str_shows_only_last_four_digits[firefox-visa-grouped]","tests.framework","2026-07-06","passed","2026-07-06","TestCardMasking","test_models","",""
"","0","test_repr_never_exposes_the_cvc[webkit]","tests.framework","2026-07-06","passed","2026-07-06","TestCardMasking","test_models","",""
"","1","test_str_never_contains_the_full_pan[firefox]","tests.framework","2026-07-06","passed","2026-07-06","TestCardMasking","test_models","",""
"Goto card.html and assert status 200.","621","Navigates directly to card.html and returns 200","tests.accept_a_payment","2026-07-06","passed","2026-07-06","TestPageLoadAndInitialState","test_card","",""
"Test form validation: empty fields, invalid card number, expired date.","5545","Form validation - empty fields, invalid card format, expired date","tests.accept_a_payment","2026-07-06","passed","2026-07-06","TestCardFormValidation","test_card","",""
"","1","test_str_shows_only_last_four_digits[chromium-no-spaces]","tests.framework","2026-07-06","passed","2026-07-06","TestCardMasking","test_models","",""
"Fill the card form and complete payment for the given card.","5459","Fill the card form and complete payment for the given card","tests.accept_a_payment","2026-07-06","passed","2026-07-06","TestSuccessfulPayment","test_card","",""
"Goto card.html and assert #card-errors is empty.","974","#card-errors is empty on load","tests.accept_a_payment","2026-07-06","passed","2026-07-06","TestPageLoadAndInitialState","test_card","",""
"","1","test_empties_allure_results_dir_contents_but_keeps_directory[firefox]","tests.framework","2026-07-06","passed","2026-07-06","TestCleanAndCreateLogDirs","test_log_helpers","",""
"Test form validation: ZIP/postal code field left empty.","7031","Form validation - incomplete ZIP code","tests.accept_a_payment","2026-07-06","passed","2026-07-06","TestCardFormValidation","test_card","",""
"Test form validation: invalid expiration date month.","5966","Form validation - invalid expiration date month","tests.accept_a_payment","2026-07-06","passed","2026-07-06","TestCardFormValidation","test_card","",""
"","4","test_invalid_env_error_lists_valid_options[firefox]","tests.framework","2026-07-06","passed","2026-07-06","TestGetBaseUrl","test_config","",""
"","0","test_str_shows_only_last_four_digits[chromium-exactly-four-masks-everything]","tests.framework","2026-07-06","passed","2026-07-06","TestCardMasking","test_models","",""
"Goto card.html and assert status 200.","1511","Navigates directly to card.html and returns 200","tests.accept_a_payment","2026-07-06","passed","2026-07-06","TestPageLoadAndInitialState","test_card","",""
"Test form validation: expiration date field left empty.","6189","Form validation - incomplete expiration date","tests.accept_a_payment","2026-07-06","passed","2026-07-06","TestCardFormValidation","test_card","",""
"","7","test_str_shows_only_last_four_digits[chromium-visa-grouped]","tests.framework","2026-07-06","passed","2026-07-06","TestCardMasking","test_models","",""
"Goto card.html and assert #name input value is 'Jenny Rosen'.","4889","Name input is pre-filled with ""Jenny Rosen""","tests.accept_a_payment","2026-07-06","passed","2026-07-06","TestPageLoadAndInitialState","test_card","",""
"","1958","test_fail_then_fail_lands_in_failed_after_retry[chromium]","tests.framework","2026-07-06","passed","2026-07-06","","test_flaky_summary","",""
"","1706","test_optout_scoped_to_conftest_directory[webkit]","tests.framework","2026-07-06","passed","2026-07-06","","test_retry_optout","",""
"","0","test_str_shows_only_last_four_digits[webkit-no-spaces]","tests.framework","2026-07-06","passed","2026-07-06","TestCardMasking","test_models","",""
"Test form validation: CVC field left empty.","4240","Form validation - incomplete CVC","tests.accept_a_payment","2026-07-06","passed","2026-07-06","TestCardFormValidation","test_card","",""
"","4","test_raises_for_invalid_environment[chromium]","tests.framework","2026-07-06","passed","2026-07-06","TestGetBaseUrl","test_config","",""
"","2272","test_framework_items_never_rerun[firefox]","tests.framework","2026-07-06","passed","2026-07-06","","test_retry_optout","",""
"Fill the card form and complete payment for the given card.","8120","Fill the card form and complete payment for the given card","tests.accept_a_payment","2026-07-06","passed","2026-07-06","TestSuccessfulPayment","test_card","",""
"","1670","test_summary_mirrored_to_github_step_summary[firefox]","tests.framework","2026-07-06","passed","2026-07-06","","test_flaky_summary","",""
"","1625","test_flaky_demo_marker_stays_retry_eligible[firefox]","tests.framework","2026-07-06","passed","2026-07-06","","test_retry_optout","",""
"","1","test_returns_correct_url_for_every_registered_combination[webkit-acceptapayment-docker]","tests.framework","2026-07-06","passed","2026-07-06","TestGetBaseUrl","test_config","",""
"Goto card.html and assert status 200.","4665","Navigates directly to card.html and returns 200","tests.accept_a_payment","2026-07-06","passed","2026-07-06","TestPageLoadAndInitialState","test_card","",""
"","2295","test_demo_marker_bucketed_separately[chromium]","tests.framework","2026-07-06","passed","2026-07-06","","test_flaky_summary","",""
"Goto card.html and assert page title is 'Card'.","1445","Page title is ""Card""","tests.accept_a_payment","2026-07-06","passed","2026-07-06","TestPageLoadAndInitialState","test_card","",""
"","9","test_repr_keeps_non_sensitive_fields_readable[chromium]","tests.framework","2026-07-06","passed","2026-07-06","TestCardMasking","test_models","",""
"Fill the card form and complete payment for the given card.","7880","Fill the card form and complete payment for the given card with 3DS authentication","tests.accept_a_payment","2026-07-06","passed","2026-07-06","Test3DSecureAuthenticationFlow","test_card","",""
"","1","test_returns_correct_url_for_every_registered_combination[firefox-acceptapayment-docker]","tests.framework","2026-07-06","passed","2026-07-06","TestGetBaseUrl","test_config","",""
"","1","test_str_shows_only_last_four_digits[webkit-exactly-four-masks-everything]","tests.framework","2026-07-06","passed","2026-07-06","TestCardMasking","test_models","",""
"","2238","test_clean_pass_prints_no_flaky_section[firefox]","tests.framework","2026-07-06","passed","2026-07-06","","test_flaky_summary","",""
"Test form validation: empty fields, invalid card number, expired date.","2467","Form validation - empty fields, invalid card format, expired date","tests.accept_a_payment","2026-07-06","passed","2026-07-06","TestCardFormValidation","test_card","",""
"Goto card.html and assert Stripe iframe in #card-element.","2272","Stripe card element iframe is mounted within #card-element","tests.accept_a_payment","2026-07-06","passed","2026-07-06","TestPageLoadAndInitialState","test_card","",""
"Test form validation: invalid card number.","6604","Form validation - invalid card format","tests.accept_a_payment","2026-07-06","passed","2026-07-06","TestCardFormValidation","test_card","",""
"","1229","test_summary_mirrored_to_github_step_summary[webkit]","tests.framework","2026-07-06","passed","2026-07-06","","test_flaky_summary","",""
"","8","test_docker_env_resolves_to_compose_service_hostname[chromium]","tests.framework","2026-07-06","passed","2026-07-06","TestGetBaseUrl","test_config","",""
"","1571","test_demo_marker_bucketed_separately[firefox]","tests.framework","2026-07-06","passed","2026-07-06","","test_flaky_summary","",""
"","1","test_removes_regular_files_and_subdirs_from_log_dir[firefox]","tests.framework","2026-07-06","passed","2026-07-06","TestCleanAndCreateLogDirs","test_log_helpers","",""
"Goto card.html and assert #submit/pay button is enabled.","4042","Pay button is enabled on load","tests.accept_a_payment","2026-07-06","passed","2026-07-06","TestPageLoadAndInitialState","test_card","",""
"Test form validation: invalid card number.","4848","Form validation - invalid card format","tests.accept_a_payment","2026-07-06","passed","2026-07-06","TestCardFormValidation","test_card","",""
"","1","test_docker_env_resolves_to_compose_service_hostname[firefox]","tests.framework","2026-07-06","passed","2026-07-06","TestGetBaseUrl","test_config","",""
"","0","test_raises_for_invalid_environment[webkit]","tests.framework","2026-07-06","passed","2026-07-06","TestGetBaseUrl","test_config","",""
"","0","test_str_shows_only_last_four_digits[webkit-visa-grouped]","tests.framework","2026-07-06","passed","2026-07-06","TestCardMasking","test_models","",""
