"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","2","test_healthy_report_says_so_explicitly[webkit]","tests.framework","2026-07-09","passed","2026-07-09","","test_flake_analysis","",""
"","2128","test_quarantined_pass_is_recorded_as_xpass[firefox]","tests.framework","2026-07-09","passed","2026-07-09","","test_quarantine","",""
"","0","test_merge_is_idempotent_per_run_id[webkit]","tests.framework","2026-07-09","passed","2026-07-09","","test_flake_analysis","",""
"Goto card.html and assert #messages is hidden on load.","2402","#messages panel is hidden on load","tests.accept_a_payment","2026-07-09","passed","2026-07-09","TestPageLoadAndInitialState","test_card","",""
"","3948","test_xdist_forwards_rerun_reports[chromium]","tests.framework","2026-07-09","passed","2026-07-09","","test_flaky_summary","",""
"","2410","test_fail_then_fail_lands_in_failed_after_retry[webkit]","tests.framework","2026-07-09","passed","2026-07-09","","test_flaky_summary","",""
"","0","test_docker_env_resolves_to_compose_service_hostname[webkit]","tests.framework","2026-07-09","passed","2026-07-09","TestGetBaseUrl","test_config","",""
"","0","test_two_recent_incidents_propose_quarantine[chromium]","tests.framework","2026-07-09","passed","2026-07-09","","test_flake_analysis","",""
"","1","test_docker_env_resolves_to_compose_service_hostname[chromium]","tests.framework","2026-07-09","passed","2026-07-09","TestGetBaseUrl","test_config","",""
"","5","test_schema_mismatch_starts_fresh[chromium]","tests.framework","2026-07-09","passed","2026-07-09","","test_flake_analysis","",""
"Test form validation: invalid card number.","6032","Form validation - invalid card format","tests.accept_a_payment","2026-07-09","passed","2026-07-09","TestCardFormValidation","test_card","",""
"Test form validation: invalid expiration date month.","4306","Form validation - invalid expiration date month","tests.accept_a_payment","2026-07-09","passed","2026-07-09","TestCardFormValidation","test_card","",""
"Test form validation: empty fields, invalid card number, expired date.","10830","Form validation - empty fields, invalid card format, expired date","tests.accept_a_payment","2026-07-09","passed","2026-07-09","TestCardFormValidation","test_card","",""
"","857","test_outcomes_and_run_metadata_recorded[chromium]","tests.framework","2026-07-09","passed","2026-07-09","","test_run_record","",""
